REEF,DEPTH,MAupper,MAlower
Barnards,2,23,4.798246734
Barren,2,12.96839641,3.672360514
Daydream,2,13.45371878,3.516560568
Dent,2,11.57683637,3.494177626
Double Cone,2,8.906155498,3.356336211
Dunk North,2,23,4.602704643
Dunk South,2,23,5.349520117
Fitzroy East,2,11.65024084,3.480582393
Fitzroy West,2,12.48156339,3.308556448
Franklands East,2,12.24550564,3.425003176
Franklands West,2,11.36444224,3.380914617
Havannah,2,18.21941232,3.40310076
High East,2,11.22181231,3.368502149
High West,2,22.43291245,4.406320117
Hook,2,9.330311979,3.357095137
Keppels South,2,23,3.9011621
King,2,23,6.16339635
Lady Elliot,2,23,6.07069031
Magnetic,2,23,6.360640133
Middle Rf LTMP,2,22.14140952,5.463606693
Middle Rf,2,21.86736839,5.456802892
Middle,2,23,5.1542386
North Keppel,2,23,5.112994394
Palms East,2,12.15231044,3.61483524
Palms West,2,12.75295079,3.388579183
Pandora,2,23,4.68928732
Peak,2,23,6.294251952
Pelican,2,23,6.355327165
Pine,2,18.27011312,4.421110802
Seaforth,2,11.80164407,3.397888089
Shute Harbour,2,17.63393769,4.219125297
Snapper North,2,18.72372419,4.402938395
Snapper South,2,23,4.393016095
Barnards,5,20.7570702,1.721784257
Barren,5,12.62841725,1.585828738
Border,5,8.163443128,1.410918782
Daydream,5,10.39187381,1.471334138
Dent,5,10.15228888,1.451911362
Double Cone,5,7.641686238,1.432299903
Dunk North,5,13.54473354,1.659186403
Dunk South,5,15.63291134,1.853012726
Fitzroy East,5,10.00959425,1.501774345
Fitzroy West LTMP,5,13.32944046,1.493758488
Fitzroy West,5,13.29842497,1.492245543
Franklands East,5,10.47635934,1.476468028
Franklands West,5,15.80336845,1.546062584
Green,5,11.9022611,1.567711286
Havannah North,5,21.65128291,1.494022638
Havannah,5,25,1.553577579
Hayman,5,9.448519921,1.418495552
High East,5,13.03673063,1.443337462
High West,5,12.140968,1.610329527
Hook,5,8.055064757,1.417364889
Keppels South,5,23.98950398,1.730440926
King,5,24.78901567,1.845698055
Lady Elliot,5,15.27380576,1.943581961
Langford,5,7.893265295,1.403200438
Low Isles,5,8.918614943,1.414261349
Magnetic,5,19.04485034,1.975762535
Middle,5,23.00138589,1.753676234
North Keppel,5,22.59109325,1.802928934
Palms East,5,10.4748253,1.528352173
Palms West,5,17.46836812,1.511250936
Pandora North,5,13.08389743,1.604498702
Pandora,5,16.15742957,1.622545792
Peak,5,19.07071061,1.978507216
Pelican,5,18.79549266,1.954567435
Pine,5,11.24026169,1.611522728
Seaforth,5,10.23706181,1.444226309
Shute Harbour,5,11.74854886,1.570573212
Snapper North,5,11.26918451,1.599222141
Snapper South,5,13.10056943,1.606119434
Bedarra,2,23,7.058
Bedarra,5,14.024,1.26
