REEF,data,variableName,Month,Year
Barnards,0.8005642,Nap_MIM_median,7,2002
Barnards,0.045138888,CDOM_MIM_median,7,2002
Barnards,0.25249565,Chl_MIM_median,7,2002
Barnards,0.095052086,Kd_490_MIM_median,7,2002
Barnards,0.8005642,Nap_MIM_median,7,2002
Barnards,0.045138888,CDOM_MIM_median,7,2002
Barnards,0.25249565,Chl_MIM_median,7,2002
Barnards,0.095052086,Kd_490_MIM_median,7,2002
Barnards,0.8005642,Nap_MIM_median,7,2002
Barnards,0.045138888,CDOM_MIM_median,7,2002
Barnards,0.25249565,Chl_MIM_median,7,2002
Barnards,0.095052086,Kd_490_MIM_median,7,2002
Barnards,0.74283856,Nap_MIM_median,8,2002
Barnards,0.038519964,CDOM_MIM_median,8,2002
Barnards,0.33344185,Chl_MIM_median,8,2002
Barnards,0.095052086,Kd_490_MIM_median,8,2002
Barnards,0.74283856,Nap_MIM_median,8,2002
Barnards,0.038519964,CDOM_MIM_median,8,2002
Barnards,0.33344185,Chl_MIM_median,8,2002
Barnards,0.095052086,Kd_490_MIM_median,8,2002
Barnards,0.74283856,Nap_MIM_median,8,2002
Barnards,0.038519964,CDOM_MIM_median,8,2002
Barnards,0.33344185,Chl_MIM_median,8,2002
Barnards,0.095052086,Kd_490_MIM_median,8,2002
Barnards,0.7522786,Nap_MIM_median,9,2002
Barnards,0.042534724,CDOM_MIM_median,9,2002
Barnards,0.39344618,Chl_MIM_median,9,2002
Barnards,0.096462674,Kd_490_MIM_median,9,2002
Barnards,0.7522786,Nap_MIM_median,9,2002
Barnards,0.042534724,CDOM_MIM_median,9,2002
Barnards,0.39344618,Chl_MIM_median,9,2002
Barnards,0.096462674,Kd_490_MIM_median,9,2002
Barnards,0.7522786,Nap_MIM_median,9,2002
Barnards,0.042534724,CDOM_MIM_median,9,2002
Barnards,0.39344618,Chl_MIM_median,9,2002
Barnards,0.096462674,Kd_490_MIM_median,9,2002
Barnards,0.7798394,Nap_MIM_median,10,2002
Barnards,0.05219184,CDOM_MIM_median,10,2002
Barnards,0.3531901,Chl_MIM_median,10,2002
Barnards,0.09798177,Kd_490_MIM_median,10,2002
Barnards,0.7798394,Nap_MIM_median,10,2002
Barnards,0.05219184,CDOM_MIM_median,10,2002
Barnards,0.3531901,Chl_MIM_median,10,2002
Barnards,0.09798177,Kd_490_MIM_median,10,2002
Barnards,0.7798394,Nap_MIM_median,10,2002
Barnards,0.05219184,CDOM_MIM_median,10,2002
Barnards,0.3531901,Chl_MIM_median,10,2002
Barnards,0.09798177,Kd_490_MIM_median,10,2002
Barnards,0.6187066,Nap_MIM_median,11,2002
Barnards,0.038628474,CDOM_MIM_median,11,2002
Barnards,0.41905382,Chl_MIM_median,11,2002
Barnards,0.09233941,Kd_490_MIM_median,11,2002
Barnards,0.6187066,Nap_MIM_median,11,2002
Barnards,0.038628474,CDOM_MIM_median,11,2002
Barnards,0.41905382,Chl_MIM_median,11,2002
Barnards,0.09233941,Kd_490_MIM_median,11,2002
Barnards,0.6187066,Nap_MIM_median,11,2002
Barnards,0.038628474,CDOM_MIM_median,11,2002
Barnards,0.41905382,Chl_MIM_median,11,2002
Barnards,0.09233941,Kd_490_MIM_median,11,2002
Barnards,0.5683594,Nap_MIM_median,12,2002
Barnards,0.034613714,CDOM_MIM_median,12,2002
Barnards,0.46365017,Chl_MIM_median,12,2002
Barnards,0.09342448,Kd_490_MIM_median,12,2002
Barnards,0.5683594,Nap_MIM_median,12,2002
Barnards,0.034613714,CDOM_MIM_median,12,2002
Barnards,0.46365017,Chl_MIM_median,12,2002
Barnards,0.09342448,Kd_490_MIM_median,12,2002
Barnards,0.5683594,Nap_MIM_median,12,2002
Barnards,0.034613714,CDOM_MIM_median,12,2002
Barnards,0.46365017,Chl_MIM_median,12,2002
Barnards,0.09342448,Kd_490_MIM_median,12,2002
Barnards,0.49848092,Nap_MIM_median,1,2003
Barnards,0.029622396,CDOM_MIM_median,1,2003
Barnards,0.47753906,Chl_MIM_median,1,2003
Barnards,0.08734809,Kd_490_MIM_median,1,2003
Barnards,0.49848092,Nap_MIM_median,1,2003
Barnards,0.029622396,CDOM_MIM_median,1,2003
Barnards,0.47753906,Chl_MIM_median,1,2003
Barnards,0.08734809,Kd_490_MIM_median,1,2003
Barnards,0.49848092,Nap_MIM_median,1,2003
Barnards,0.029622396,CDOM_MIM_median,1,2003
Barnards,0.47753906,Chl_MIM_median,1,2003
Barnards,0.08734809,Kd_490_MIM_median,1,2003
Barnards,0.4389106,Nap_MIM_median,2,2003
Barnards,0.04014757,CDOM_MIM_median,2,2003
Barnards,0.46994358,Chl_MIM_median,2,2003
Barnards,0.08539496,Kd_490_MIM_median,2,2003
Barnards,0.4389106,Nap_MIM_median,2,2003
Barnards,0.04014757,CDOM_MIM_median,2,2003
Barnards,0.46994358,Chl_MIM_median,2,2003
Barnards,0.08539496,Kd_490_MIM_median,2,2003
Barnards,0.4389106,Nap_MIM_median,2,2003
Barnards,0.04014757,CDOM_MIM_median,2,2003
Barnards,0.46994358,Chl_MIM_median,2,2003
Barnards,0.08539496,Kd_490_MIM_median,2,2003
Barnards,0.67057294,Nap_MIM_median,3,2003
Barnards,0.055664062,CDOM_MIM_median,3,2003
Barnards,0.53776044,Chl_MIM_median,3,2003
Barnards,0.100260414,Kd_490_MIM_median,3,2003
Barnards,0.67057294,Nap_MIM_median,3,2003
Barnards,0.055664062,CDOM_MIM_median,3,2003
Barnards,0.53776044,Chl_MIM_median,3,2003
Barnards,0.100260414,Kd_490_MIM_median,3,2003
Barnards,0.67057294,Nap_MIM_median,3,2003
Barnards,0.055664062,CDOM_MIM_median,3,2003
Barnards,0.53776044,Chl_MIM_median,3,2003
Barnards,0.100260414,Kd_490_MIM_median,3,2003
Barnards,0.57541233,Nap_MIM_median,4,2003
Barnards,0.042534724,CDOM_MIM_median,4,2003
