weight,genus,DEPTH
-0.014371462,ACANTHASTREA,2
-0.07620759,ALVEOPORA,2
0.030743759,ASTREOPORA,2
-0.001785095,CATALAPHYLLIA,2
0.007290967,CAULASTREA,2
0.051392227,COELOSERIS,2
-0.010584191,COSCINARAEA,2
0.015782672,CTENACTIS,2
-0.000472283,CYNARINA,2
-0.386341757,CYPHASTREA,2
0.003321105,DIPLOASTREA,2
-0.002149344,ECHINOPHYLLIA,2
0.075601161,ECHINOPORA,2
-0.012461556,EUPHYLLIA,2
-0.133719066,FAVIA,2
-0.095297161,FAVITES,2
0.013274055,FUNGIA,2
-0.081048399,GALAXEA,2
-0.003722326,GARDINEROSERIS,2
-0.115201364,GONIASTREA,2
-0.319596302,GONIOPORA,2
0.015097117,HELIOFUNGIA,2
-0.012672887,HERPOLITHA,2
-0.04706559,HYDNOPHORA,2
0.021708255,LEPTASTREA,2
0.054118638,LEPTORIA,2
-0.010572169,LEPTOSERIS,2
0.018043718,LOBOPHYLLIA,2
-0.010022611,MERULINA,2
0.018591692,MONTASTREA,2
-0.130764486,MONTIPORA,2
-0.058357846,MOSELEYA,2
-0.016991842,MYCEDIUM,2
0.019938102,OULOPHYLLIA,2
-0.008014332,OXYPORA,2
-0.076510763,PACHYSERIS,2
0.001941235,PALAUASTREA,2
-0.152111888,PAVONA,2
-0.030261208,PECTINIA,2
9.21E-05,PHYSOGYRA,2
0.047516704,PLATYGYRA,2
0.002515539,PLEROGYRA,2
-0.124769926,PLESIASTREA,2
0.058127036,POCILLOPORA,2
-0.024681837,PODABACIA,2
-3.68E-05,POLYPHYLLIA,2
-0.194146978,PSAMMOCORA,2
-0.001109808,PSEUDOSIDERASTREA,2
0.003426255,SANDALOLITHA,2
0.00140997,SCOLYMIA,2
0.050021704,SERIATOPORA,2
0.003558708,STYLOCOENIELLA,2
0.03455223,STYLOPHORA,2
0.034067086,SYMPHYLLIA,2
0.005085939,TUBASTRAEA,2
-0.279437986,TURBINARIA,2
0.65723842,ACB,2
0.03405779,ACD,2
0.047754811,ACE,2
0.059579536,ACO,2
0.042568106,ACS,2
0.051912991,ACT,2
0.152915502,ACX,2
-0.053689288,pm,2
0.059467122,pb,2
0.122521572,prus,2
-0.047125633,psm_e,2
0.017278808,ACANTHASTREA,5
-0.221307542,ALVEOPORA,5
0.001359564,ANACROPORA,5
-0.02324981,ASTREOPORA,5
-0.006464343,CATALAPHYLLIA,5
-0.040682756,CAULASTREA,5
-0.062445022,COSCINARAEA,5
0.000695362,CTENACTIS,5
0.003877242,CYNARINA,5
-0.192741234,CYPHASTREA,5
0.172985245,DIPLOASTREA,5
-0.04162838,DUNCANOPSAMMIA,5
-0.109530819,ECHINOPHYLLIA,5
0.096108861,ECHINOPORA,5
-0.022847004,EUPHYLLIA,5
-0.135934905,FAVIA,5
-0.23047385,FAVITES,5
0.014563947,FUNGIA,5
-0.15897434,GALAXEA,5
-0.277979266,GONIASTREA,5
-0.304297472,GONIOPORA,5
-0.002385902,HALOMITRA,5
-0.007443071,HELIOFUNGIA,5
-0.034150343,HERPOLITHA,5
-0.212711479,HYDNOPHORA,5
0.047827162,LEPTASTREA,5
0.077246156,LEPTORIA,5
-0.020691744,LEPTOSERIS,5
-0.000819797,LITHOPHYLLON,5
-0.033999334,LOBOPHYLLIA,5
-0.073089074,MERULINA,5
0.005402175,MONTASTREA,5
0.045107652,MONTIPORA,5
-0.090966536,MOSELEYA,5
-0.150523089,MYCEDIUM,5
0.036276733,OULOPHYLLIA,5
-0.075745617,OXYPORA,5
-0.235496005,PACHYSERIS,5
-0.020920844,PALAUASTREA,5
-0.023952053,PAVONA,5
-0.126417622,PECTINIA,5
0.001287322,PHYSOGYRA,5
-0.039425965,PLATYGYRA,5
-0.000890256,PLEROGYRA,5
-0.114100892,PLESIASTREA,5
0.073837048,POCILLOPORA,5
-0.122205786,PODABACIA,5
-0.019520796,POLYPHYLLIA,5
-0.365977754,PSAMMOCORA,5
-0.005725859,PSEUDOSIDERASTREA,5
0.004818828,SANDALOLITHA,5
0.00036291,SCOLYMIA,5
0.027139185,SERIATOPORA,5
-0.005850196,STYLOCOENIELLA,5
0.033274412,STYLOPHORA,5
0.017680453,SYMPHYLLIA,5
-0.000241733,TUBASTRAEA,5
-0.306968424,TURBINARIA,5
0.809918106,ACB,5
0.038524338,ACD,5
0.014949809,ACE,5
0.240470356,ACO,5
-0.00399242,ACS,5
0.224305303,ACT,5
0.069964751,ACX,5
0.122482512,pm,5
0.075094982,pb,5
0.086659705,prus,5
-0.004866069,psm_e,5
