subregion,Year,discharge.c.annual
Burdekin,2005,5453448.497
Burdekin,2006,3387650.527
Burdekin,2007,12697077.4
Burdekin,2008,32328663.23
Burdekin,2009,34915884.71
Burdekin,2010,10675149.31
Burdekin,2011,42817963.02
Burdekin,2012,19556314.36
Burdekin,2013,4876102.659
Burdekin,2014,3221763.482
Burdekin,2015,1259701.804
Burdekin,2016,2418047.36
Burdekin,2017,5534742.62
Daintree,2005,2657372.229
Daintree,2006,5552463.035
Daintree,2007,3318493.575
Daintree,2008,5114757.8
Daintree,2009,3387675.246
Daintree,2010,4964377.722
Daintree,2011,7907153.914
Daintree,2012,4709391.456
Daintree,2013,3156689.706
Daintree,2014,7501454.211
Daintree,2015,3046403.556
Daintree,2016,2809373.448
Daintree,2017,3300926.145
Daintree,2018,1113.798
Fitzroy,2005,1145226.346
Fitzroy,2006,794948.041
Fitzroy,2007,1333463.657
Fitzroy,2008,13808648.24
Fitzroy,2009,2552235.891
Fitzroy,2010,13351265.56
Fitzroy,2011,40660760.96
Fitzroy,2012,8819025.122
Fitzroy,2013,11434564.76
Fitzroy,2014,3206883.239
Fitzroy,2015,3922881.833
Fitzroy,2016,4540624.649
Fitzroy,2017,7628072.742
Johnstone,2005,10400068.77
Johnstone,2006,17117235.42
Johnstone,2007,15222459.91
Johnstone,2008,15047213.8
Johnstone,2009,15623717.64
Johnstone,2010,13860228.09
Johnstone,2011,27546018.77
Johnstone,2012,17023658.54
Johnstone,2013,10811470.12
Johnstone,2014,16289211.02
Johnstone,2015,9330078.708
Johnstone,2016,9641158.977
Johnstone,2017,11161773.22
Proserpine,2005,970355.7491
Proserpine,2006,972555.7633
Proserpine,2007,3913003.088
Proserpine,2008,7271134.833
Proserpine,2009,4331647.785
Proserpine,2010,7191805.837
Proserpine,2011,13657177.22
Proserpine,2012,6677288.002
Proserpine,2013,4128673.178
Proserpine,2014,2316446.781
Proserpine,2015,569605.0655
Proserpine,2016,1746554.047
Proserpine,2017,6545732.869
Tully,2005,4369751.198
Tully,2006,10509324.4
Tully,2007,10419789.62
Tully,2008,8777386.751
Tully,2009,16531053.98
Tully,2010,7935998.977
Tully,2011,23859977.76
Tully,2012,6637365.407
Tully,2013,4222853.214
Tully,2014,5828957.022
Tully,2015,1603135.82
Tully,2016,5855025.533
Tully,2017,6295122.517
