"","REEF","VISIT_NO","DEPTH","Acroporidae","Dendrophylliidae","propAC"
"1","Barnards",1,2,31,7.5,0.805194805194805
"2","Barnards",1,5,41,26,0.611940298507463
"3","Barnards",2,2,2.5,1.5,0.625
"4","Barnards",2,5,3,2.5,0.545454545454545
"5","Barnards",3,2,24.5,10,0.710144927536232
"6","Barnards",3,5,22.5,106,0.175097276264591
"7","Barnards",5,2,113.5,63.5,0.641242937853107
"8","Barnards",5,5,47.5,220,0.177570093457944
"9","Barnards",7,2,29.5,27.5,0.517543859649123
"10","Barnards",7,5,28,79,0.261682242990654
"11","Barnards",9,2,85.5,117,0.422222222222222
"12","Barnards",9,5,50,466.5,0.0968054211035818
"13","Barnards",11,2,29,109.5,0.209386281588448
"14","Barnards",11,5,35,419.5,0.077007700770077
"15","Barnards",13,2,47,103.5,0.312292358803987
"16","Barnards",13,5,19.5,275.5,0.0661016949152542
"17","Barnards",14,2,54,50.5,0.516746411483254
"18","Barnards",14,5,26.5,126.5,0.173202614379085
"19","Barren",1,2,1,0,1
"20","Barren",1,5,4.5,0,1
"21","Barren",2,2,3,2,0.6
"22","Barren",2,5,4,0,1
"23","Barren",3,2,17,6.5,0.723404255319149
"24","Barren",3,5,2.5,0,1
"25","Barren",4,2,9.5,3.5,0.730769230769231
"26","Barren",4,5,3.5,0,1
"27","Barren",5,2,31.5,12.5,0.715909090909091
"28","Barren",5,5,9,0,1
"29","Barren",6,2,20.5,15.5,0.569444444444444
"30","Barren",6,5,3.5,0,1
"31","Barren",7,2,26.5,21,0.557894736842105
"32","Barren",7,5,1,0,1
"33","Barren",8,2,30,14.5,0.674157303370786
"34","Barren",8,5,1,0,1
"35","Barren",9,2,30,6.5,0.821917808219178
"36","Barren",9,5,6.5,0.5,0.928571428571429
"37","Barren",10,2,64,9,0.876712328767123
"38","Barren",10,5,11,0,1
"39","Barren",11,2,76,4,0.95
"40","Barren",11,5,12,0,1
"41","Barren",13,2,46,5.5,0.893203883495146
"42","Barren",13,5,9.5,0,1
"43","Bedarra",11,2,35,86.5,0.288065843621399
"44","Bedarra",11,5,17.5,171.5,0.0925925925925926
"45","Bedarra",12,2,53,67.5,0.439834024896266
"46","Bedarra",12,5,17,169,0.0913978494623656
"47","Bedarra",13,2,36.5,62,0.370558375634518
"48","Bedarra",13,5,19,143,0.117283950617284
"49","Bedarra",14,2,26.5,24,0.524752475247525
"50","Bedarra",14,5,15.5,86.5,0.151960784313725
