P_CODE,NRM_REGION,DEPTH,A_SECTOR,SHELF,FULLREEF_ID,REEF_ID,REEF_NAME,REEF,AIMS_REEF_NAME,subregion
IN,Wet Tropics,2,CA,I,16054S,16054,FITZROY ISLAND REEF,Fitzroy West,Fitzroy Island,Johnstone
IN,Burdekin,5,TO,I,18050S,18050,LADY ELLIOT REEF,Lady Elliot,Lady Elliot Reef,Burdekin
IN,Burdekin,5,TO,I,18049A,18049,ORPHEUS (GOOLBODDI) ISLAND REEF (NO 1),Palms West,Pelorus Is and Orpheus Is West,Burdekin
IN,Burdekin,5,TO,I,18049E,18049,ORPHEUS (GOOLBODDI) ISLAND REEF (NO 5),Palms East,Orpheus Island East,Burdekin
IN,Mackay Whitsunday,5,WH,I,20028D,20028,HOOK ISLAND REEF (NO 4),Hook,Hook Island,Proserpine
IN,Mackay Whitsunday,2,WH,I,20058S,20058,DENT REEF,Dent,Dent Island,Proserpine
IN,Fitzroy,2,CB,I,23031S,23031,BARREN ISLAND,Barren,Barren Island,Fitzroy
IN,Fitzroy,5,CB,I,23004B,23004,NORTH KEPPEL ISLAND REEF (NO 2),North Keppel,North Keppel Island,Fitzroy
IN,Fitzroy,5,CB,I,23010S,23010,MIDDLE ISLAND REEF(23010),Middle,Middle Island,Fitzroy
IN,Wet Tropics,5,IN,I,17013S,17013,ROUND-RUSSELL REEF,Franklands West,Frankland Islands,Johnstone
IN,Wet Tropics,2,CA,I,16006S,16006,SNAPPER REEF,Snapper North,Snapper Island,Daintree
IN,Wet Tropics,5,IN,I,17048S,17048,KING REEFS,King,King Reef,Tully
IN,Wet Tropics,5,IN,I,18001S,18001,RICHARDS (BEDARRA) REEF,Bedarra,Bedarra Island,Tully
IN,Mackay Whitsunday,2,WH,I,20061S,20061,PINE ISLAND REEF,Pine,Pine Island,Proserpine
IN,Burdekin,5,TO,I,19009C,19009,MAGNETIC ISLAND REEF (NO 2),Magnetic,Geoffrey Bay,Burdekin
IN,Fitzroy,5,CB,I,23031S,23031,BARREN ISLAND,Barren,Barren Island,Fitzroy
IN,Wet Tropics,5,IN,I,17009S,17009,TOBIAS SPIT,High East,High Island,Johnstone
IN,Wet Tropics,2,IN,I,17009S,17009,TOBIAS SPIT,High West,High Island,Johnstone
IN,Wet Tropics,5,IN,I,17009S,17009,TOBIAS SPIT,High West,High Island,Johnstone
IN,Burdekin,2,TO,I,18065S,18065,HAVANNAH REEF,Havannah,Havannah Island,Burdekin
IN,Wet Tropics,2,IN,I,17048S,17048,KING REEFS,King,King Reef,Tully
IN,Burdekin,2,TO,I,18049E,18049,ORPHEUS (GOOLBODDI) ISLAND REEF (NO 5),Palms East,Orpheus Island East,Burdekin
IN,Mackay Whitsunday,5,WH,I,20035S,20035,DAYDREAM REEF,Daydream,Daydream Island,Proserpine
IN,Wet Tropics,2,IN,I,17009S,17009,TOBIAS SPIT,High East,High Island,Johnstone
IN,Wet Tropics,5,CA,I,16006S,16006,SNAPPER REEF,Snapper North,Snapper Island,Daintree
IN,Burdekin,2,TO,I,18049A,18049,ORPHEUS (GOOLBODDI) ISLAND REEF (NO 1),Palms West,Pelorus Is and Orpheus Is West,Burdekin
IN,Mackay Whitsunday,5,WH,I,20061S,20061,PINE ISLAND REEF,Pine,Pine Island,Proserpine
IN,Fitzroy,5,CB,I,23016S,23016,HUMPY REEF,Keppels South,Humpy Island and Halfway Island,Fitzroy
IN,Wet Tropics,2,IN,I,17012A,17012,NORMANBY-MABEL REEF,Franklands East,Frankland Islands,Johnstone
IN,Wet Tropics,2,IN,I,17053S,17053,STINGAREE REEFS,Dunk North,Dunk Island,Tully
IN,Fitzroy,2,CB,I,23026S,23026,PEAK REEF,Peak,Peak Island,Fitzroy
IN,Wet Tropics,5,CA,I,16054S,16054,FITZROY ISLAND REEF,Fitzroy West,Fitzroy Island,Johnstone
IN,Wet Tropics,2,CA,I,16006S,16006,SNAPPER REEF,Snapper South,Snapper Island,Daintree
IN,Burdekin,5,TO,I,18065S,18065,HAVANNAH REEF,Havannah,Havannah Island,Burdekin
IN,Mackay Whitsunday,2,WH,I,20028D,20028,HOOK ISLAND REEF (NO 4),Hook,Hook Island,Proserpine
IN,Fitzroy,2,CB,I,23004B,23004,NORTH KEPPEL ISLAND REEF (NO 2),North Keppel,North Keppel Island,Fitzroy
IN,Fitzroy,5,CB,I,23017S,23017,PELICAN ISLAND REEF(23017),Pelican,Pelican Island,Fitzroy
IN,Wet Tropics,5,IN,I,17012A,17012,NORMANBY-MABEL REEF,Franklands East,Frankland Islands,Johnstone
IN,Wet Tropics,5,IN,I,17053S,17053,STINGAREE REEFS,Dunk South,Dunk Island,Tully
IN,Mackay Whitsunday,5,WH,I,20024S,20024,DOUBLE CONE REEF,Double Cone,Double Cone Island,Proserpine
IN,Wet Tropics,5,CA,I,16054S,16054,FITZROY ISLAND REEF,Fitzroy East,Fitzroy Island,Johnstone
IN,Burdekin,2,TO,I,18051S,18051,PANDORA REEF,Pandora,Pandora Reef,Burdekin
IN,Burdekin,2,TO,I,19009C,19009,MAGNETIC ISLAND REEF (NO 2),Magnetic,Geoffrey Bay,Burdekin
IN,Burdekin,2,TO,I,19011S,19011,MIDDLE REEF(19011),Middle Rf,Middle Reef,Burdekin
